MAHOUT_LOCAL is not set; adding HADOOP_CONF_DIR to classpath.
Running on hadoop, using /usr/hdp/2.3.0.0-2525/hadoop/bin/hadoop and HADOOP_CONF_DIR=/usr/hdp/2.3.0.0-2525/hadoop/conf
MAHOUT-JOB: /usr/hdp/2.3.0.0-2525/mahout/mahout-examples-0.9.0.2.3.0.0-2525-job.jar
Input Path: /user/ec2-user/benchmarks/bigbench/temp/q28_hive_POWER_TEST_IN_PROGRESS_0_temp/result/part-m-00000
Key class: class org.apache.hadoop.io.Text Value Class: class org.apache.mahout.math.VectorWritable
Key: NEG: Value: {0:-1489.9735790704815,1:-1507.4091986140747,2:-1451.7784709646778}
Key: NEG: Value: {0:-599.0053652832223,1:-625.675127642776,2:-614.8662399852776}
Key: NEG: Value: {0:-8918.158918747864,1:-9114.454638104251,2:-8770.667789395584}
Key: NEG: Value: {0:-6612.191960805554,1:-6755.179487304159,2:-6502.769575105343}
Key: NEG: Value: {0:-3993.9246388444003,1:-3990.306204430909,2:-3938.4209972286976}
Key: NEG: Value: {0:-3041.1003488309784,1:-3021.215160588468,2:-2956.3131781149905}
Key: NEG: Value: {0:-1944.994854805306,1:-1958.7771206038583,2:-1867.9072454302418}
Key: NEG: Value: {0:-154.65602742076763,1:-158.61646017034172,2:-156.8149786847606}
Key: NEG: Value: {0:-5661.183348578136,1:-5743.398212516551,2:-5533.6524991165925}
Key: NEG: Value: {0:-10405.39389006998,1:-10542.088997609413,2:-10253.569746992825}
Key: NEG: Value: {0:-6969.47072331308,1:-7049.858381603908,2:-6814.562420828165}
Key: NEG: Value: {0:-5933.4495920504105,1:-5942.282793318806,2:-5794.549155514749}
Key: NEG: Value: {0:-3808.313419286026,1:-3898.4988982566842,2:-3745.558709301309}
Key: NEG: Value: {0:-6517.82961524777,1:-6699.947366438021,2:-6338.111037826213}
Key: NEG: Value: {0:-506.2646125230735,1:-502.1669723320285,2:-467.7115956811973}
Key: NEG: Value: {0:-13411.179759810579,1:-13360.425604372795,2:-12997.082622133123}
Key: NEG: Value: {0:-12250.598788169016,1:-12286.620345375775,2:-11998.595250076787}
Key: NEG: Value: {0:-2020.732944540415,1:-2038.207889346868,2:-1996.689320086812}
Key: NEG: Value: {0:-6171.340772579383,1:-6308.953116060017,2:-5991.529582037863}
Key: NEG: Value: {0:-8942.821696272313,1:-9041.565949160302,2:-8752.261517461267}
Key: NEG: Value: {0:-5865.43873879715,1:-5847.724352232269,2:-5656.6473476927395}
Key: NEG: Value: {0:-7199.442364515173,1:-7169.966751836693,2:-7006.27960233255}
Key: NEG: Value: {0:-7234.997501360664,1:-7116.1286467381415,2:-7053.477141412625}
Key: NEG: Value: {0:-1647.8450293571605,1:-1649.4068873081535,2:-1632.2600500174258}
Key: NEG: Value: {0:-1308.390836556412,1:-1325.2745045656345,2:-1252.4652249510364}
Key: NEG: Value: {0:-3739.1324422112702,1:-3806.4575525245564,2:-3678.8197583835204}
Key: NEG: Value: {0:-2210.6961357298064,1:-2261.851068139916,2:-2183.8773332820288}
Key: NEG: Value: {0:-2168.02956436665,1:-2163.3777285773062,2:-2097.392056743098}
Key: NEG: Value: {0:-359.08125513711684,1:-360.690320556159,2:-365.8984478201287}
Key: NEG: Value: {0:-4596.271033649002,1:-4670.746763706604,2:-4561.8401859362975}
Key: NEG: Value: {0:-1490.123729439943,1:-1491.509259589954,2:-1492.3485929592948}
Key: NEG: Value: {0:-2191.7405372141775,1:-2109.0613600731203,2:-2108.451711255118}
Key: NEG: Value: {0:-428.2151396918549,1:-450.19972357287054,2:-416.6252211303463}
Key: NEG: Value: {0:-454.3503200590684,1:-449.38094378360995,2:-451.5143687398464}
Key: NEG: Value: {0:-711.233311873406,1:-705.2530567773714,2:-692.8743818425643}
Key: NEG: Value: {0:-326.34042448931837,1:-341.55226808467097,2:-333.33875234690237}
Key: NEG: Value: {0:-920.8894198794824,1:-914.5001710897454,2:-893.3282460449893}
Key: NEG: Value: {0:-1063.0182566552398,1:-1058.2132199964028,2:-1074.2559904771215}
Key: NEG: Value: {0:-2469.586384458821,1:-2552.942431663137,2:-2416.759634558366}
Key: NEG: Value: {0:-14751.38473496739,1:-14661.923977435968,2:-14451.392911312285}
Key: NEG: Value: {0:-6669.017087366723,1:-6676.188372645269,2:-6538.744857768231}
Key: NEG: Value: {0:-4389.531021891684,1:-4460.061019676824,2:-4361.001341976795}
Key: NEG: Value: {0:-3765.521866387495,1:-3767.814282984549,2:-3681.5820048930227}
Key: NEG: Value: {0:-13164.117532904786,1:-13150.441814229998,2:-12867.122605482386}
Key: NEG: Value: {0:-604.1320651435791,1:-602.3732877303137,2:-591.6731645367325}
Key: NEG: Value: {0:-11517.620271706179,1:-11590.979599647495,2:-11310.682975168993}
Key: NEG: Value: {0:-3788.3192679719727,1:-3848.92003442945,2:-3740.061584654238}
Key: NEG: Value: {0:-232.4544026717704,1:-241.81814706449148,2:-220.51823415935144}
Key: NEG: Value: {0:-753.0998725673574,1:-787.773859592913,2:-738.079257656698}
Key: NEG: Value: {0:-4409.220639829154,1:-4573.535411773264,2:-4410.944032634847}
Key: NEG: Value: {0:-5213.4865033012275,1:-5191.966739711461,2:-5053.8638448163665}
Key: NEG: Value: {0:-1174.1086255913767,1:-1145.0643309045158,2:-1156.0355743832267}
Key: NEG: Value: {0:-1148.7714533590536,1:-1176.4201771833723,2:-1139.753862279974}
Key: NEG: Value: {0:-1699.7418891684747,1:-1756.921877738304,2:-1650.1766749129058}
Key: NEG: Value: {0:-2215.6315392439674,1:-2216.465994683833,2:-2173.132547226493}
Key: NEG: Value: {0:-7287.054765920593,1:-7207.180799481687,2:-7048.068531798654}
Key: NEG: Value: {0:-3211.510584068259,1:-3219.710649402201,2:-3138.9784961604105}
Key: NEG: Value: {0:-1056.4716195284384,1:-1112.6426641738958,2:-1049.1184411298277}
Key: NEG: Value: {0:-2490.653569547929,1:-2517.859854632934,2:-2424.0122920011213}
Key: NEG: Value: {0:-639.7371958737499,1:-619.9972901278904,2:-610.4898500266406}
Key: NEG: Value: {0:-996.5299362485371,1:-1046.710327935217,2:-997.2802649082017}
Key: NEG: Value: {0:-1094.8003709382144,1:-1124.6506686606162,2:-1097.4277635596723}
Key: NEG: Value: {0:-916.09212217166,1:-894.5029219541734,2:-867.3697437216757}
Key: NEG: Value: {0:-2855.4003130945166,1:-2860.901264516336,2:-2812.3246662504807}
Key: NEG: Value: {0:-4761.317632229863,1:-4834.399124364956,2:-4645.707395721085}
Key: NEG: Value: {0:-3448.106511903705,1:-3575.3547066038514,2:-3466.2610840276384}
Key: NEG: Value: {0:-1726.209380782891,1:-1793.9836949830428,2:-1683.0637575401056}
Key: NEG: Value: {0:-462.7571489415875,1:-453.01984709741805,2:-478.3814002223631}
Key: NEG: Value: {0:-679.0054120888777,1:-706.8179091181548,2:-675.6760458438174}
Key: NEG: Value: {0:-7205.661853379799,1:-7194.725732766625,2:-6922.879681186442}
Key: NEG: Value: {0:-2763.3637739954565,1:-2770.3144276952053,2:-2749.9027130728664}
Key: NEG: Value: {0:-3495.743395189923,1:-3478.4261970249527,2:-3409.2834533318746}
Key: NEG: Value: {0:-11597.85212133189,1:-11640.350065952955,2:-11364.171006039332}
Key: NEG: Value: {0:-5484.4922266132535,1:-5499.654486526441,2:-5392.646599985994}
Key: NEG: Value: {0:-2703.556205223569,1:-2717.6102439125075,2:-2622.3753915688117}
Key: NEG: Value: {0:-4349.899296603838,1:-4284.767135529798,2:-4149.890388278835}
Key: NEG: Value: {0:-3046.8319533064996,1:-2986.095318293299,2:-2892.0031886122238}
Key: NEG: Value: {0:-621.1685197547039,1:-636.5219368914316,2:-618.6150293084679}
Key: NEG: Value: {0:-4226.729093262097,1:-4322.70021292703,2:-4164.516113091883}
Key: NEG: Value: {0:-3051.5599553582983,1:-3108.6107465891164,2:-2971.6830206651416}
Key: NEG: Value: {0:-4451.133118812796,1:-4573.34631308801,2:-4276.090737382589}
Key: NEG: Value: {0:-1226.54905185534,1:-1267.2738789392724,2:-1216.6527316878578}
Key: NEG: Value: {0:-479.78207131270887,1:-491.61398470842687,2:-465.1606096826449}
Key: NEG: Value: {0:-370.9168615037925,1:-372.22151287763575,2:-378.2095861256183}
Key: NEG: Value: {0:-6748.687151612701,1:-6861.438255438586,2:-6611.725737664512}
Key: NEG: Value: {0:-3462.783362789755,1:-3496.0112660309765,2:-3368.1266816342845}
Key: NEG: Value: {0:-1583.4366062738698,1:-1586.772817002647,2:-1530.626178918532}
Key: NEG: Value: {0:-1813.8429245301627,1:-1789.6720089856892,2:-1769.9447311709278}
Key: NEG: Value: {0:-957.4379468529952,1:-935.0010546832983,2:-929.2562734120941}
Key: NEG: Value: {0:-3846.6027477570906,1:-3880.1073802878755,2:-3775.5614970143642}
Key: NEG: Value: {0:-2418.160921282486,1:-2438.2162830700217,2:-2390.0999410266686}
Key: NEG: Value: {0:-5316.422230151448,1:-5267.058739113364,2:-5153.781774993009}
Key: NEG: Value: {0:-6336.975490226202,1:-6468.542374756177,2:-6250.83938846649}
Key: NEG: Value: {0:-8168.089682673598,1:-8217.428815213307,2:-8046.509178068143}
Key: NEG: Value: {0:-603.9323050717678,1:-613.2291610629477,2:-591.9520263940512}
Key: NEG: Value: {0:-4945.543568237639,1:-4981.290239180919,2:-4830.052665027098}
Key: NEG: Value: {0:-5360.130086333963,1:-5389.361433737419,2:-5162.395787251796}
Key: NEG: Value: {0:-2761.3937316808597,1:-2787.682635242831,2:-2730.3126371608214}
Key: NEG: Value: {0:-5306.375654817926,1:-5288.647597911785,2:-5156.5117155382}
Key: NEG: Value: {0:-4706.0904771681935,1:-4764.835835244229,2:-4631.271282620417}
Key: NEG: Value: {0:-1004.7385282219619,1:-1014.5628380062013,2:-982.0935770878041}
Key: NEG: Value: {0:-878.3565469121754,1:-861.5389402476053,2:-829.9605894659597}
Key: NEG: Value: {0:-22.59380363884469,1:-26.335750068921406,2:-23.362998223452497}
Key: NEG: Value: {0:-1595.9314205473443,1:-1575.2112137834324,2:-1533.9022383372458}
Key: NEG: Value: {0:-3882.3769456004843,1:-3893.260569023073,2:-3791.720439903898}
Key: NEG: Value: {0:-936.3534702366509,1:-927.7312563115936,2:-937.5040648457974}
Key: NEG: Value: {0:-15038.842864436921,1:-15153.204263579504,2:-14728.268451859702}
Key: NEG: Value: {0:-16298.766513518382,1:-16322.808167794114,2:-15958.9528080489}
Key: NEG: Value: {0:-3179.059023525106,1:-3189.781483578557,2:-3112.381113607321}
Key: NEG: Value: {0:-1231.7139828231896,1:-1232.0370551702617,2:-1214.408268299211}
Key: NEG: Value: {0:-20556.498322010157,1:-20591.13030194061,2:-19973.28087579909}
Key: NEG: Value: {0:-5488.417381037504,1:-5483.983988789409,2:-5400.524919420403}
Key: NEG: Value: {0:-6708.13117970174,1:-6697.08550071003,2:-6568.850755304782}
Key: NEG: Value: {0:-12206.977630156816,1:-12399.942072003108,2:-12019.869022522715}
Key: NEG: Value: {0:-2196.40986031914,1:-2257.6862873944965,2:-2159.8993837400285}
Key: NEG: Value: {0:-454.7204512869422,1:-439.04117371389475,2:-450.94818349045335}
Key: NEG: Value: {0:-3442.8249938919603,1:-3397.106360910326,2:-3311.8401534224627}
Key: NEG: Value: {0:-9916.794824924928,1:-9929.830176382411,2:-9679.154923004471}
Key: NEG: Value: {0:-5567.602559009223,1:-5580.975857495405,2:-5478.2790912746295}
Key: NEG: Value: {0:-270.2017099389421,1:-263.2451247020812,2:-258.2215624615209}
Key: NEG: Value: {0:-3350.7980749281537,1:-3353.706652138309,2:-3254.845911635231}
Key: NEG: Value: {0:-9959.987071605836,1:-10212.497445807645,2:-9753.773596642304}
Key: NEG: Value: {0:-1021.6102682700757,1:-1026.4224169440809,2:-982.3948892889815}
Key: NEG: Value: {0:-668.6499944144098,1:-675.6035398230604,2:-670.6429762118171}
Key: NEG: Value: {0:-9837.077032616076,1:-9981.771223911346,2:-9644.038780739174}
Key: NEG: Value: {0:-1394.1622228791605,1:-1394.793594487931,2:-1384.7104564720753}
Key: NEG: Value: {0:-2314.453054276892,1:-2377.278244454204,2:-2297.34976528686}
Key: NEG: Value: {0:-9665.584063212964,1:-9572.334951139928,2:-9384.664891800065}
Key: NEG: Value: {0:-6174.591576651444,1:-6103.421595144556,2:-5955.282462718606}
Key: NEG: Value: {0:-3437.937882892218,1:-3561.0710857793174,2:-3388.90687408778}
Key: NEG: Value: {0:-5594.078974519456,1:-5701.950688022047,2:-5514.28358951546}
Key: NEG: Value: {0:-7585.116408095701,1:-7740.188765831223,2:-7384.959124715731}
Key: NEG: Value: {0:-1606.8213528903639,1:-1616.2316150417348,2:-1552.7466586745159}
Key: NEG: Value: {0:-3214.089763501833,1:-3286.696111614747,2:-3148.020761314473}
Key: NEG: Value: {0:-2762.2426562957744,1:-2813.3098164623902,2:-2688.9518514316337}
Key: NEG: Value: {0:-836.751320408715,1:-809.3609867297149,2:-800.1795694586436}
Key: NEG: Value: {0:-2717.454343498352,1:-2717.125079263836,2:-2620.0592533237823}
Key: NEG: Value: {0:-619.6302974733269,1:-618.8958191216514,2:-606.0956020090664}
Key: NEG: Value: {0:-1463.290419146777,1:-1452.0766056881037,2:-1406.478108769005}
Key: NEG: Value: {0:-3328.819205175096,1:-3354.0868743827145,2:-3273.645703739063}
Key: NEG: Value: {0:-6842.703249999423,1:-6864.817489709325,2:-6704.99990941817}
Key: NEG: Value: {0:-8206.590999778731,1:-8190.855292828655,2:-7920.901134080032}
Key: NEG: Value: {0:-1808.3060316563322,1:-1860.0780867030999,2:-1803.5457620317227}
Key: NEG: Value: {0:-1457.7300058081414,1:-1484.898235440677,2:-1454.0915034392679}
Key: NEG: Value: {0:-8182.8262359449,1:-8117.997510113577,2:-8003.11309292546}
Key: NEG: Value: {0:-4482.759119687694,1:-4552.899762863262,2:-4404.387903750662}
Key: NEG: Value: {0:-2492.803420164997,1:-2538.809962379228,2:-2455.8737045464377}
Key: NEG: Value: {0:-3701.053522563419,1:-3677.7236793101333,2:-3679.685964508019}
Key: NEG: Value: {0:-1135.3592304397268,1:-1160.663701611675,2:-1111.0934517464389}
Key: NEG: Value: {0:-6893.071094179601,1:-6898.8859570835,2:-6746.438204898719}
Key: NEG: Value: {0:-13449.576681049695,1:-13543.277580016826,2:-13000.004939723176}
Key: NEG: Value: {0:-8941.470237765789,1:-8975.098652549554,2:-8869.2976143478}
Key: NEG: Value: {0:-1313.4297129015008,1:-1293.0499309247257,2:-1263.5390543499586}
Key: NEG: Value: {0:-714.9867100334812,1:-736.356490313588,2:-711.6042774977959}
Key: NEG: Value: {0:-2115.256248250894,1:-2128.353319523843,2:-2057.764766527306}
Key: NEG: Value: {0:-3371.1151160988893,1:-3393.3278800119615,2:-3308.555205299152}
Key: NEG: Value: {0:-4631.090143689688,1:-4648.978567254789,2:-4526.974941462801}
Key: NEG: Value: {0:-1086.7759525472939,1:-1085.0704572583254,2:-1034.4007052131099}
Key: NEG: Value: {0:-14691.392584315807,1:-14712.42007567484,2:-14407.97016976505}
Key: NEG: Value: {0:-1850.0096255053095,1:-1860.4126893414748,2:-1814.0777259732586}
Key: NEG: Value: {0:-3696.874643181141,1:-3699.400325022491,2:-3634.380471338127}
Key: NEG: Value: {0:-16249.726709835291,1:-16471.557390985145,2:-15994.202269307247}
Key: NEG: Value: {0:-4409.2753671629225,1:-4459.910767277096,2:-4269.568964142419}
Key: NEG: Value: {0:-422.4729760033529,1:-416.0016581118711,2:-408.4854262251711}
Key: NEG: Value: {0:-94.68067489185435,1:-91.67626902373438,2:-94.01705786580766}
Key: NEG: Value: {0:-423.33506208168075,1:-410.03285696851884,2:-408.8296859817181}
Key: NEG: Value: {0:-4148.654287209058,1:-4191.1338713232435,2:-4070.438247274297}
Key: NEG: Value: {0:-7271.0429940772465,1:-7313.722531452181,2:-7165.65265017913}
Key: NEG: Value: {0:-2267.8975728142705,1:-2306.5786037701832,2:-2195.5108040346277}
Key: NEG: Value: {0:-9877.53485118948,1:-9911.523693761608,2:-9702.073923828922}
Key: NEG: Value: {0:-4561.34054774933,1:-4728.47131814918,2:-4474.652568949512}
Key: NEG: Value: {0:-11532.796602217148,1:-11545.648284395951,2:-11212.383528611412}
Key: NEG: Value: {0:-2834.1532862090967,1:-2851.317747478125,2:-2774.84148278349}
Key: NEG: Value: {0:-10009.93252084727,1:-10127.407231021522,2:-9816.324737092218}
Key: NEG: Value: {0:-635.7434580330535,1:-614.8367709157617,2:-614.467978937948}
Key: NEG: Value: {0:-544.6567062475301,1:-536.1444018597597,2:-523.130175306094}
Key: NEG: Value: {0:-7252.7865632657,1:-7251.620752777443,2:-7107.727160406375}
Key: NEG: Value: {0:-5912.236884264323,1:-5981.801209264785,2:-5812.496029355053}
Key: NEG: Value: {0:-11833.121042967772,1:-11828.926094129045,2:-11499.780842900493}
Key: NEG: Value: {0:-10966.110486132418,1:-11118.854244146223,2:-10724.735411638867}
Key: NEG: Value: {0:-15403.641090080611,1:-15511.574270230809,2:-15178.040921911317}
Key: NEG: Value: {0:-714.9867100334812,1:-736.356490313588,2:-711.6042774977959}
Key: NEG: Value: {0:-5631.266268330029,1:-5678.497885563222,2:-5528.74840954142}
Key: NEG: Value: {0:-1700.0369438439266,1:-1730.6249857605326,2:-1693.1313516247687}
Key: NEG: Value: {0:-2967.9212875781627,1:-3059.3114291576057,2:-2945.982215319669}
Key: NEG: Value: {0:-3247.2336533464345,1:-3197.3407153763396,2:-3141.1139292096573}
Key: NEG: Value: {0:-2899.7951302696624,1:-2892.373917600876,2:-2817.960166568753}
Key: NEG: Value: {0:-426.34073796670054,1:-452.9200375112409,2:-409.85449913450196}
Key: NEG: Value: {0:-13816.124872424209,1:-14050.495312290128,2:-13456.839206059118}
Key: NEG: Value: {0:-2159.800613788793,1:-2180.916484256072,2:-2075.029874191619}
Key: NEG: Value: {0:-4947.576550462666,1:-4812.975910932787,2:-4719.506833661014}
Key: NEG: Value: {0:-374.28338665129127,1:-381.65559852393596,2:-363.08290977776704}
Key: NEG: Value: {0:-3481.2099412297357,1:-3580.507942761523,2:-3456.118064174494}
Key: NEG: Value: {0:-538.9011445185769,1:-543.2679014794347,2:-516.1289024263777}
Key: NEG: Value: {0:-372.6214611062609,1:-373.66560599111176,2:-370.2095384295786}
Key: NEG: Value: {0:-5860.075504483679,1:-5778.480999706648,2:-5653.45718687807}
Key: NEG: Value: {0:-83.776685622694,1:-81.91987095984157,2:-85.65672170791429}
Key: NEG: Value: {0:-1802.368453199209,1:-1798.1996332621038,2:-1754.920565324306}
Key: NEG: Value: {0:-1929.3336663392595,1:-1910.0034753959524,2:-1882.8502685841484}
Key: NEG: Value: {0:-2387.4021086840785,1:-2348.0474295988097,2:-2279.571981173195}
Key: NEG: Value: {0:-12415.400040789244,1:-12588.49367563871,2:-12100.44060632457}
Key: NEG: Value: {0:-1979.891404458663,1:-2094.126319271599,2:-1989.958936056114}
Key: NEG: Value: {0:-1005.8362043539001,1:-1027.6043617876421,2:-1036.8644384943748}
Key: NEG: Value: {0:-865.0350254298202,1:-893.2426494766089,2:-895.7946816702281}
Key: NEG: Value: {0:-2584.8757555852053,1:-2608.833286134435,2:-2507.9159635290116}
Key: NEG: Value: {0:-2865.0209647576576,1:-2919.4399428938914,2:-2786.531203550084}
Key: NEG: Value: {0:-2396.4191187617635,1:-2386.8778151561232,2:-2363.445181809011}
Key: NEG: Value: {0:-155.75646018848232,1:-151.87784684470645,2:-155.7674959455126}
Key: NEG: Value: {0:-1917.7904604351522,1:-1898.1526219703699,2:-1884.5049668752847}
Key: NEG: Value: {0:-6044.260201331344,1:-6097.605624797187,2:-5931.2074649507795}
Key: NEG: Value: {0:-1154.8444555948834,1:-1210.965068325752,2:-1152.2454907479867}
Key: NEG: Value: {0:-11803.942198341229,1:-11642.905355933863,2:-11449.917672502657}
Key: NEG: Value: {0:-1217.4019703712604,1:-1280.3591266979015,2:-1247.0123124725396}
Key: NEG: Value: {0:-9511.139128528168,1:-9792.540704458217,2:-9392.05082242468}
Key: NEG: Value: {0:-2109.446630465785,1:-2191.310702551057,2:-2051.90176059841}
Key: NEG: Value: {0:-663.9685469807761,1:-672.870119487301,2:-668.2342326132764}
Key: NEG: Value: {0:-479.78207131270887,1:-491.61398470842687,2:-465.1606096826449}
Key: NEG: Value: {0:-24340.51680206787,1:-24474.705939696796,2:-23766.09180422237}
Key: NEG: Value: {0:-1340.7926926656041,1:-1339.3773844032091,2:-1295.8823326123945}
Key: NEG: Value: {0:-5079.751900874171,1:-5057.244591364141,2:-4905.953530386503}
Key: NEG: Value: {0:-1968.890569465657,1:-2017.1478304913524,2:-1943.5612860642818}
Key: NEG: Value: {0:-377.035645658235,1:-361.9959588265798,2:-359.264038572491}
Key: NEG: Value: {0:-1807.715645460976,1:-1710.4207469581436,2:-1715.8907128376472}
Key: NEG: Value: {0:-20759.32709798593,1:-20951.911248949964,2:-20204.72667370535}
Key: NEG: Value: {0:-4114.327561817225,1:-4096.679321799655,2:-4063.6372005842163}
Key: NEG: Value: {0:-7947.6349164478215,1:-8014.89331140804,2:-7699.671687833535}
Key: NEG: Value: {0:-20603.140242907746,1:-21005.115932077122,2:-20343.460012946744}
Key: NEG: Value: {0:-11824.028661333461,1:-11888.85937072098,2:-11424.092571746598}
Key: NEG: Value: {0:-2775.177547505685,1:-2736.6670907562457,2:-2695.807061161596}
